,disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate
519,1771,1752.0,10024142.17,8979826.09,1044316.08,,,,2019-09-03T00:00:00.000Z
520,1796,,,,,,,,
521,1821,,,,,,,,
522,1846,115.0,2055904.84,1798705.32,257199.52,,,,2019-09-03T00:00:00.000Z
523,1807,,,,,,,,
524,1812,,,,,,,,
525,1832,977.0,2961606.39,2685781.9,275824.49,,,,2019-09-03T00:00:00.000Z
526,1837,,,,,,,,
527,1857,927.0,4626437.19,4297309.99,329127.2,,,,2019-09-03T00:00:00.000Z
528,1862,,,,,,,,
529,1786,71206.0,216888044.03,165776649.38,51111394.65,,,,2019-09-03T00:00:00.000Z
530,1791,121641.0,531866266.34,412559078.82,119307187.52,,,,2019-09-03T00:00:00.000Z
531,1811,,,,,,,,
532,1816,,,,,,,,
533,1836,,,,,,,,
534,1841,3176.0,15106854.42,13370790.11,1736064.31,,,,2019-09-03T00:00:00.000Z
535,1797,,,,,,,,
